name	TCGA-AG-4007-01A	TCGA-AD-6964-01A	TCGA-AG-A01Y-11A	TCGA-AG-3887-01A	TCGA-AA-3664-01A	TCGA-AA-A01G-01A	TCGA-AA-A03J-11A	TCGA-AG-3885-01A	TCGA-AA-3510-11A	TCGA-A6-6780-01B	TCGA-AA-3715-01A	TCGA-AG-4001-01A	TCGA-A6-A567-01A	TCGA-AG-3890-01A	TCGA-A6-5659-01A	TCGA-AG-4015-01A	TCGA-AA-3675-01A	TCGA-AA-3509-01A	TCGA-AA-A03F-11A	TCGA-AG-A008-01A	TCGA-AF-3913-01A	TCGA-AG-A00Y-01A	TCGA-AA-A03J-01A	TCGA-AA-A02W-01A	TCGA-AA-A03F-01A	TCGA-AG-3896-01A	TCGA-AG-4008-01A	TCGA-AA-3966-01A	TCGA-A6-2682-01A	TCGA-AA-3494-01A	TCGA-AA-3692-01A	TCGA-A6-A56B-01A	TCGA-AA-3516-01A	TCGA-AG-A01W-11A	TCGA-AG-A00H-01A	TCGA-AA-3666-01A	TCGA-AG-3892-01A	TCGA-F5-6814-01A	TCGA-AG-3582-01A	TCGA-A6-5656-01A	TCGA-AA-3861-01A	TCGA-AA-3510-01A	TCGA-AZ-6601-01A	TCGA-AG-4005-01A	TCGA-AG-A020-01A	TCGA-AZ-4684-01A	TCGA-AA-A00N-01A	TCGA-AA-A01P-01A	TCGA-A6-2679-01A	TCGA-AA-A01P-11A	TCGA-AA-3529-01A	TCGA-NH-A50T-01A	TCGA-A6-6650-01A	TCGA-A6-2677-01A	TCGA-AA-A02Y-01A	TCGA-QG-A5Z2-01A	TCGA-AA-A01V-01A	TCGA-AA-A01T-01A	TCGA-AA-3553-01A	TCGA-AA-3514-11A	TCGA-AA-3495-11A	TCGA-CM-4748-01A	TCGA-AZ-4313-01A	TCGA-AG-3901-01A	TCGA-AA-A01I-01A	TCGA-A6-3808-01A	TCGA-AA-3548-01A	TCGA-AA-A01X-11A	TCGA-AG-A01N-01A	TCGA-AA-A01Q-01A	TCGA-A6-3807-11A	TCGA-CM-4750-01A	TCGA-A6-3809-01B	TCGA-AG-3909-01A	TCGA-AG-3894-01A	TCGA-AZ-4308-01A	TCGA-AA-3555-01A	TCGA-AA-3693-01A	TCGA-AG-A002-01A	TCGA-AA-A02K-01A	TCGA-A6-5659-01B	TCGA-AZ-6601-11A	TCGA-AG-3882-01A	TCGA-D5-6540-01A	TCGA-AG-A01L-01A	TCGA-CA-6718-01A	TCGA-AZ-4315-01A	TCGA-A6-2681-01A	TCGA-AA-3947-01A	TCGA-CM-4752-01A	TCGA-AG-3593-01A	TCGA-CM-4747-01A	TCGA-AG-3893-01A	TCGA-A6-A566-01A	TCGA-AA-A01C-01A	TCGA-AA-3688-01A	TCGA-A6-3810-01A	TCGA-AA-A01X-01A	TCGA-AA-3534-01A	TCGA-A6-2677-01B	TCGA-AZ-4614-01A	TCGA-AG-3574-01A	TCGA-AA-3681-01A	TCGA-AA-A00Q-01A	TCGA-A6-2684-01C	TCGA-AA-A01K-01A	TCGA-QG-A5YV-01A	TCGA-AA-A02R-01A	TCGA-AA-3685-01A	TCGA-A6-3808-11A	TCGA-AG-3898-01A	TCGA-A6-6650-01B	TCGA-AA-A01R-01A	TCGA-AA-3956-01A	TCGA-AA-3494-11A	TCGA-QG-A5Z1-01A	TCGA-AA-3502-01A	TCGA-AA-3549-01A	TCGA-AG-A00C-01A	TCGA-AG-3878-01A	TCGA-EI-6917-01A	TCGA-A6-3810-11A	TCGA-AA-A010-01A	TCGA-AG-3902-01A	TCGA-NH-A50V-01A	TCGA-AG-3728-01A	TCGA-AG-3881-01A	TCGA-AZ-4682-01B	TCGA-CK-4951-01A	TCGA-AA-A00U-01A	TCGA-A6-5656-01B	TCGA-AA-A00R-01A	TCGA-AF-2691-01A	TCGA-CA-6717-01A	TCGA-AZ-4615-01A	TCGA-AA-3509-11A	TCGA-AA-3994-01A	TCGA-AG-A01W-01A	TCGA-AA-A01V-11A	TCGA-CM-4746-01A	TCGA-AA-A01T-11A	TCGA-A6-3810-01B	TCGA-AA-3495-01A	TCGA-AA-A02O-01A	TCGA-A6-6781-01A	TCGA-AA-3518-01A	TCGA-AY-4070-01A	TCGA-A6-2683-11A	TCGA-CA-5256-01A	TCGA-AA-3558-01A	TCGA-AA-A02O-11A	TCGA-AG-3999-01A	TCGA-AA-3502-11A	TCGA-A6-3809-01A	TCGA-AG-A01Y-01A	TCGA-AY-A54L-01A	TCGA-AA-3514-01A	TCGA-A6-2678-01A	TCGA-A6-2684-01A	TCGA-A6-6780-01A	TCGA-CM-4744-01A	TCGA-AG-3727-01A	TCGA-AF-2692-01A	TCGA-AA-A01S-01A	TCGA-A6-2683-01A	TCGA-AG-A014-01A	TCGA-AG-A011-01A	TCGA-AA-3812-01A	TCGA-A6-2680-01A	TCGA-AA-A00Z-01A	TCGA-AG-A032-01A	TCGA-A6-2674-01A	TCGA-AA-3970-01A	TCGA-A6-3807-01A	TCGA-A6-2671-01A	TCGA-AA-3968-01A	TCGA-A6-2676-01A	TCGA-AA-A01D-01A	TCGA-AA-A01R-11A	TCGA-AF-3913-11A	TCGA-A6-6141-01A	TCGA-AF-2689-01A	TCGA-A6-A565-01A	TCGA-AD-A5EK-01A	TCGA-AD-A5EJ-01A	TCGA-QG-A5YW-01A	TCGA-AA-A01S-11A	TCGA-AA-3672-01A	TCGA-AY-4071-01A	TCGA-AG-A015-01A	TCGA-AA-3977-01A	TCGA-AA-3529-11A	TCGA-QG-A5YX-01A	TCGA-AG-A020-11A	TCGA-AZ-4681-01A
Simonsiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Treponema	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0283046620927819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0285785595043524	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0434774589442368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0270721439532757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0260631186804809	0.0	0.0443143545182568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0117186184830585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0327550154620041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Campylobacter	0.0	0.0	0.0	0.0106647444372918	0.0232594919156342	0.0	0.0	0.0204252145075747	0.0	0.0	0.0256144802699977	0.0	0.029987409295658	0.0	0.0	0.0	0.0379442225352028	0.0	0.0	0.0247243154170872	0.0	0.0	0.0	0.0	0.0	0.0	0.2790487050383666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1416308487360362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0199564775396162	0.0145849204871774	0.0	0.0	0.0	0.0	0.0	0.0	0.0420964978624026	0.0	0.0256885971171685	0.0	0.0	0.0	0.0	0.0183934483293748	0.0	0.0	0.0	0.0	0.0157949811447412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0273964496521278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036964655289241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0382057450120277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0479511888519262	0.0	0.0	0.0	0.0	0.0	0.0156679225444614	0.0	0.1540529066205504	0.0	0.3055809698078684	0.0	0.0	0.0	0.0	0.0300915750352743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0241517868736205	0.0	0.0125587236615656	0.0	0.0	0.0	0.0	0.0	0.0415126715945089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0169293225053454	0.0	0.0	0.0	0.0	0.0212021413068379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1163606769724655	0.0	0.0	0.0	0.0	0.0131121599020372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0241691842900302	0.0
Helicobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Paracoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Comamonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0536410923276983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0483383685800604	0.0
Pseudomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4897290303122653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0780237553556874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0779374171160836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0296186940758825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Xanthomonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Agrobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0197410151753781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.124401913875598	0.0194619188059933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0481282559169346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bradyrhizobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
